municipio,confirmados,mortes
TOTAL NO ESTADO,246665,6369
Importados/Indefinidos,,
Açailândia,4385,153
Afonso Cunha,155,2
Água Doce Do Maranhão,672,7
Alcântara,208,11
Aldeias Altas,974,12
Altamira Do Maranhão,279,8
Alto Alegre Do Maranhão,719,21
Alto Alegre Do Pindaré,1716,33
Alto Parnaíba,650,5
Amapá Do Maranhão,77,0
Amarante Do Maranhão,1305,43
Anajatuba,659,17
Anapurus,828,11
Apicum-Açu,332,3
Araguanã,691,5
Araioses,605,12
Arame,983,28
Arari,385,16
Axixá,189,4
Bacabal,4137,125
Bacabeira,278,5
Bacuri,429,4
Bacurituba,111,1
Balsas,7902,102
Barão De Grajaú,254,2
Barra Do Corda,4769,48
Barreirinhas,1577,31
Bela Vista Do Maranhão,180,11
Belágua,282,2
Benedito Leite,268,2
Bequimão,269,15
Bernardo Do Mearim,205,4
Boa Vista Do Gurupi,14,3
Bom Jardim,1116,38
Bom Jesus Das Selvas,2261,20
Bom Lugar,374,7
Brejo,765,18
Brejo De Areia,280,7
Buriti,742,7
Buriti Bravo,1100,10
Buriticupu,2826,33
Buritirana,280,21
Cachoeira Grande,207,5
Cajapió,68,3
Cajari,140,4
Campestre Do Maranhão,818,34
Cândido Mendes,92,5
Cantanhede,556,4
Capinzal Do Norte,604,4
Carolina,529,10
Carutapera,576,25
Caxias,7387,121
Cedral,182,0
Central Do Maranhão,44,2
Centro Do Guilherme,399,3
Centro Novo Do Maranhão,788,7
Chapadinha,3097,72
Cidelândia,476,4
Codó,2287,147
Coelho Neto,1591,40
Colinas,2671,44
Conceição Do Lago-Açu,178,9
Coroatá,2621,48
Cururupu,1076,15
Davinópolis,382,15
Dom Pedro,801,13
Duque Bacelar,650,10
Esperantinópolis,718,18
Estreito,3192,37
Feira Nova Do Maranhão,1299,6
Fernando Falcão,836,1
Formosa Da Serra Negra,1080,2
Fortaleza Dos Nogueiras,893,10
Fortuna,1178,5
Godofredo Viana,90,3
Gonçalves Dias,805,16
Governador Archer,331,2
Governador Edison Lobão,586,24
Governador Eugênio Barros,532,8
Governador Luiz Rocha,200,1
Governador Newton Bello,672,6
Governador Nunes Freire,741,8
Graça Aranha,123,2
Grajaú,3768,74
Guimarães,303,6
Humberto De Campos,1354,9
Icatu,219,9
Igarapé Do Meio,461,15
Igarapé Grande,1414,13
Imperatriz,13305,628
Itaipava Do Grajaú,606,6
Itapecuru-Mirim,1677,42
Itinga Do Maranhão,706,21
Jatobá,87,5
Jenipapo Dos Vieiras,1001,14
João Lisboa,472,38
Joselândia,495,1
Junco Do Maranhão,277,1
Lago Da Pedra,2055,58
Lago Do Junco,391,3
Lago Dos Rodrigues,494,10
Lago Verde,555,9
Lagoa Do Mato,1017,2
Lagoa Grande Do Maranhão,227,9
Lajeado Novo,354,10
Lima Campos,922,8
Loreto,526,4
Luís Domingues,376,1
Magalhães De Almeida,465,6
Maracaçumé,541,6
