municipio,confirmados,mortes
Marajá Do Sena,213,3
Maranhãozinho,535,8
Mata Roma,350,11
Matinha,341,5
Matões,802,12
Matões Do Norte,235,1
Milagres Do Maranhão,239,1
Mirador,890,7
Miranda Do Norte,669,16
Mirinzal,221,13
Monção,1406,22
Montes Altos,647,8
Morros,202,9
Nina Rodrigues,372,7
Nova Colinas,303,5
Nova Iorque,84,0
Nova Olinda Do Maranhão,449,9
Olho D'Água Das Cunhãs,639,13
Olinda Nova Do Maranhão,420,9
Paço Do Lumiar,766,125
Palmeirândia,44,7
Paraibano,747,18
Parnarama,915,7
Passagem Franca,1244,25
Pastos Bons,674,10
Paulino Neves,186,3
Paulo Ramos,920,24
Pedreiras,2405,46
Pedro Do Rosário,92,6
Penalva,435,9
Peri-Mirim,212,4
Peritoró,403,8
Pindaré-Mirim,921,21
Pinheiro,2669,59
Pio Xii,1096,17
Pirapemas,358,8
Poção De Pedras,1422,12
Porto Franco,1395,36
Porto Rico Do Maranhão,221,4
Presidente Dutra,1574,12
Presidente Juscelino,47,1
Presidente Médici,319,2
Presidente Sarney,196,11
Presidente Vargas,161,3
Primeira Cruz,58,2
Raposa,700,22
Riachão,1451,20
Ribamar Fiquene,327,15
Rosário,411,19
Sambaíba,328,3
Santa Filomena Do Maranhão,50,0
Santa Helena,1796,13
Santa Inês,6062,126
Santa Luzia,4020,56
Santa Luzia Do Paruá,730,8
Santa Quitéria Do Maranhão,491,17
Santa Rita,575,19
Santana Do Maranhão,189,6
Santo Amaro Do Maranhão,165,4
Santo Antônio Dos Lopes,1068,10
São Benedito Do Rio Preto,1161,11
São Bento,717,17
São Bernardo,928,14
São Domingos Do Azeitão,177,4
São Domingos Do Maranhão,1788,13
São Félix De Balsas,228,1
São Francisco Do Brejão,446,1
São Francisco Do Maranhão,387,12
São João Batista,159,9
São João Do Carú,446,7
São João Do Paraíso,227,6
São João Do Sóter,802,4
São João Dos Patos,1774,19
São José De Ribamar,1889,190
São José Dos Basílios,517,2
São Luís,34937,1722
São Luís Gonzaga Do Maranhão,1078,13
São Mateus Do Maranhão,1515,27
São Pedro Da Água Branca,518,1
São Pedro Dos Crentes,315,2
São Raimundo Das Mangabeiras,1840,18
São Raimundo Do Doca Bezerra,94,2
São Roberto,295,5
São Vicente Ferrer,218,1
Satubinha,249,3
Senador Alexandre Costa,463,1
Senador La Rocque,270,19
Serrano Do Maranhão,206,3
Sítio Novo,1623,22
Sucupira Do Norte,173,4
Sucupira Do Riachão,198,2
Tasso Fragoso,686,5
Timbiras,499,23
Timon,5732,250
Trizidela Do Vale,818,17
Tufilândia,214,5
Tuntum,1617,8
Turiaçu,257,4
Turilândia,388,8
Tutóia,1135,28
Urbano Santos,1715,16
Vargem Grande,876,20
Viana,310,25
Vila Nova Dos Martírios,439,2
Vitória Do Mearim,1052,16
Vitorino Freire,1951,45
Zé Doca,4683,57
