municipio,confirmados,mortes
TOTAL NO ESTADO,274799,7583
Importados/Indefinidos,,
Açailândia,4841,172
Afonso Cunha,158,2
Água Doce Do Maranhão,673,8
Alcântara,263,14
Aldeias Altas,975,13
Altamira Do Maranhão,296,8
Alto Alegre Do Maranhão,974,22
Alto Alegre Do Pindaré,1772,42
Alto Parnaíba,688,5
Amapá Do Maranhão,146,3
Amarante Do Maranhão,1521,54
Anajatuba,768,18
Anapurus,828,11
Apicum-Açu,441,3
Araguanã,750,5
Araioses,631,12
Arame,1074,34
Arari,675,23
Axixá,189,4
Bacabal,4444,159
Bacabeira,317,6
Bacuri,429,4
Bacurituba,112,1
Balsas,8569,140
Barão De Grajaú,330,2
Barra Do Corda,5133,51
Barreirinhas,1834,34
Bela Vista Do Maranhão,307,3
Belágua,197,14
Benedito Leite,295,2
Bequimão,275,17
Bernardo Do Mearim,268,6
Boa Vista Do Gurupi,15,4
Bom Jardim,1211,41
Bom Jesus Das Selvas,2749,23
Bom Lugar,436,7
Brejo,829,19
Brejo De Areia,281,8
Buriti,751,7
Buriti Bravo,1245,12
Buriticupu,2965,38
Buritirana,354,23
Cachoeira Grande,221,5
Cajapió,72,4
Cajari,178,6
Campestre Do Maranhão,924,40
Cândido Mendes,93,6
Cantanhede,646,6
Capinzal Do Norte,612,6
Carolina,645,17
Carutapera,762,33
Caxias,8968,189
Cedral,190,3
Central Do Maranhão,44,2
Centro Do Guilherme,400,4
Centro Novo Do Maranhão,892,9
Chapadinha,3576,88
Cidelândia,496,4
Codó,2554,166
Coelho Neto,1609,45
Colinas,2753,44
Conceição Do Lago-Açu,183,11
Coroatá,2730,63
Cururupu,1286,23
Davinópolis,481,20
Dom Pedro,1018,20
Duque Bacelar,688,10
Esperantinópolis,804,20
Estreito,3307,44
Feira Nova Do Maranhão,1396,8
Fernando Falcão,837,1
Formosa Da Serra Negra,1123,2
Fortaleza Dos Nogueiras,1011,14
Fortuna,1323,5
Godofredo Viana,92,4
Gonçalves Dias,872,18
Governador Archer,381,4
Governador Edison Lobão,589,27
Governador Eugênio Barros,571,8
Governador Luiz Rocha,213,1
Governador Newton Bello,684,7
Governador Nunes Freire,758,8
Graça Aranha,124,3
Grajaú,4295,93
Guimarães,365,7
Humberto De Campos,1389,10
Icatu,227,10
Igarapé Do Meio,578,23
Igarapé Grande,1452,13
Imperatriz,15034,717
Itaipava Do Grajaú,673,9
Itapecuru-Mirim,2243,54
Itinga Do Maranhão,723,23
Jatobá,91,5
Jenipapo Dos Vieiras,1093,19
João Lisboa,636,42
Joselândia,534,2
Junco Do Maranhão,291,2
Lago Da Pedra,1422,8
Lago Do Junco,242,10
Lago Dos Rodrigues,2252,63
Lago Verde,492,3
Lagoa Do Mato,586,12
Lagoa Grande Do Maranhão,560,14
Lajeado Novo,360,11
Lima Campos,978,9
Loreto,575,4
Luís Domingues,455,1
Magalhães De Almeida,499,7
Maracaçumé,541,6
Marajá Do Sena,231,4
Maranhãozinho,560,8
Mata Roma,350,11
Matinha,364,7
Matões,936,12
Matões Do Norte,237,3
Milagres Do Maranhão,239,1
Mirador,891,7
Miranda Do Norte,810,20
Mirinzal,248,16
Monção,1526,26
Montes Altos,732,9
Morros,240,10
Nina Rodrigues,568,10
Nova Colinas,326,5
Nova Iorque,89,1
Nova Olinda Do Maranhão,466,10
Olho D'Água Das Cunhãs,741,21
Olinda Nova Do Maranhão,498,10
Paço Do Lumiar,803,143
Palmeirândia,90,9
Paraibano,903,25
Parnarama,990,14
Passagem Franca,1248,28
Pastos Bons,698,11
Paulino Neves,189,3
Paulo Ramos,1045,30
Pedreiras,3105,52
Pedro Do Rosário,93,7
Penalva,468,9
Peri-Mirim,229,4
Peritoró,689,9
Pindaré-Mirim,1060,26
Pinheiro,2731,77
Pio Xii,1575,20
Pirapemas,471,9
Poção De Pedras,1573,15
Porto Franco,1531,47
Porto Rico Do Maranhão,223,6
Presidente Dutra,1912,13
Presidente Juscelino,52,1
Presidente Médici,333,2
Presidente Sarney,203,12
Presidente Vargas,186,4
Primeira Cruz,82,2
Raposa,1210,26
Riachão,1646,25
Ribamar Fiquene,353,16
Rosário,471,21
Sambaíba,335,3
Santa Filomena Do Maranhão,50,0
Santa Helena,1987,18
Santa Inês,6867,158
Santa Luzia,4415,72
Santa Luzia Do Paruá,844,9
Santa Quitéria Do Maranhão,200,6
Santa Rita,499,17
Santana Do Maranhão,658,21
Santo Amaro Do Maranhão,195,6
Santo Antônio Dos Lopes,1243,19
São Benedito Do Rio Preto,1284,13
São Bento,786,20
São Bernardo,948,17
São Domingos Do Azeitão,202,4
São Domingos Do Maranhão,1967,14
São Félix De Balsas,231,1
São Francisco Do Brejão,473,1
São Francisco Do Maranhão,388,13
São João Batista,192,12
São João Do Carú,500,8
São João Do Paraíso,249,10
São João Do Sóter,954,6
São João Dos Patos,1916,21
São José De Ribamar,1991,252
São José Dos Basílios,558,3
São Luís,38550,1984
São Luís Gonzaga Do Maranhão,1112,17
São Mateus Do Maranhão,1914,37
São Pedro Da Água Branca,551,4
São Pedro Dos Crentes,356,2
São Raimundo Das Mangabeiras,1913,18
São Raimundo Do Doca Bezerra,100,2
São Roberto,363,5
São Vicente Ferrer,218,1
Satubinha,288,3
Senador Alexandre Costa,463,1
Senador La Rocque,297,22
Serrano Do Maranhão,206,3
Sítio Novo,1670,23
Sucupira Do Norte,197,5
Sucupira Do Riachão,205,2
Tasso Fragoso,825,7
Timbiras,505,23
Timon,5931,290
Trizidela Do Vale,1101,22
Tufilândia,223,5
Tuntum,1763,12
Turiaçu,257,4
Turilândia,601,8
Tutóia,1228,31
Urbano Santos,1718,19
Vargem Grande,1133,29
Viana,318,30
