municipio,confirmados,mortes
RIBAMAR FIQUENE,275.0,10.0
ROSÁRIO,394.0,14.0
SAMBAÍBA,311.0,3.0
SANTA FILOMENA DO MARANHÃO,50.0,0.0
SANTA HELENA,1687.0,10.0
SANTA INÊS,5330.0,97.0
SANTA LUZIA,3745.0,35.0
SANTA LUZIA DO PARUÁ,682.0,4.0
SANTA QUITÉRIA DO MARANHÃO,462.0,17.0
SANTA RITA,442.0,16.0
SANTANA DO MARANHÃO,186.0,6.0
SANTO AMARO DO MARANHÃO,140.0,2.0
SANTO ANTÔNIO DOS LOPES,991.0,6.0
SÃO BENEDITO DO RIO PRETO,1093.0,10.0
SÃO BENTO,712.0,12.0
SÃO BERNARDO,889.0,13.0
SÃO DOMINGOS DO AZEITÃO,169.0,4.0
SÃO DOMINGOS DO MARANHÃO,1669.0,13.0
SÃO FÉLIX DE BALSAS,212.0,1.0
SÃO FRANCISCO DO BREJÃO,429.0,0.0
SÃO FRANCISCO DO MARANHÃO,377.0,11.0
SÃO JOÃO BATISTA,158.0,8.0
SÃO JOÃO DO CARÚ,424.0,6.0
SÃO JOÃO DO PARAÍSO,203.0,3.0
SÃO JOÃO DO SÓTER,718.0,2.0
SÃO JOÃO DOS PATOS,1719.0,18.0
SÃO JOSÉ DE RIBAMAR,1755.0,156.0
SÃO JOSÉ DOS BASÍLIOS,482.0,2.0
SÃO LUÍS,31015.0,1482.0
SÃO LUÍS GONZAGA DO MARANHÃO,927.0,11.0
SÃO MATEUS DO MARANHÃO,1370.0,26.0
SÃO PEDRO DA ÁGUA BRANCA,518.0,1.0
SÃO PEDRO DOS CRENTES,301.0,2.0
SÃO RAIMUNDO DAS MANGABEIRAS,1817.0,17.0
SÃO RAIMUNDO DO DOCA BEZERRA,91.0,2.0
SÃO ROBERTO,287.0,5.0
SÃO VICENTE FERRER,218.0,1.0
SATUBINHA,200.0,3.0
SENADOR ALEXANDRE COSTA,463.0,1.0
SENADOR LA ROCQUE,261.0,14.0
SERRANO DO MARANHÃO,206.0,3.0
SÍTIO NOVO,1499.0,16.0
SUCUPIRA DO NORTE,146.0,3.0
SUCUPIRA DO RIACHÃO,195.0,2.0
TASSO FRAGOSO,606.0,2.0
TIMBIRAS,479.0,16.0
TIMON,5593.0,194.0
TRIZIDELA DO VALE,703.0,17.0
TUFILÂNDIA,212.0,5.0
TUNTUM,1497.0,8.0
TURIAÇU,256.0,4.0
TURILÂNDIA,363.0,6.0
TUTÓIA,1095.0,24.0
URBANO SANTOS,1714.0,15.0
VARGEM GRANDE,854.0,14.0
VIANA,295.0,17.0
VILA NOVA DOS MARTÍRIOS,375.0,1.0
VITÓRIA DO MEARIM,869.0,13.0
VITORINO FREIRE,1755.0,42.0
ZÉ DOCA,4066.0,44.0
